Sr. No.,District,Name of Dam,Co-ordinates,Location,Type of Dam,Operational / Non-Operational,"Height
(ft)","Completion Cost
(million)","Gross Storage Capacity
(Aft)","Live storage
(Aft)","C.C.A.
(Acres)","Capacity of Channel
(Cfs)","Length of Canal
(ft)","DSL
(ft)","NPL
(ft)","HFL
(ft)",River / Nullah,Year of Completion,"Catchment Area
(Sq. Km)",Latitude,Longitude
1,Islamabad,Rawal Dam,"N: 33°41’37.8”
E: 73°7’22.49”",The Rawal Dam is sited across Korang River near Rawal Village a distance of about 9 Miles from Rawalpindi along Pindi Murree Road.,Stone Masonary,Operational,133.5,21.12,47500,28265,500,112,3000,1708,1752,1761,Korang River,1962,275.18,33.693833,73.122914
2,Islamabad,Dhok Sanday Mar ,"N: 33°39’34.21”
E: 72°51’39.31’’",The dam site is near Ternol sangjani at South of Rawalpindi Peshawar G.T.Road,Concrete,Operational,65,34.15,862,518,650,3.5,15893,1707.5,1726.5,1730,Nikki kas,1990,3.55,33.659503,72.860919
3,Rawalpindi,Misriot ,"N: 33°30’59.95’’
E: 72°59’26.74’’",The dam site is near Misriot village 7 milles south west of Rawalpindi. ,Concrete,Operational,39.4,0.33,504,268,100,2,8300,1623.45,1631.1,1636.1,Domel kas,1963,8.2,33.516653,72.990761
4,Rawalpindi,Nirali ,"N: 33° 19' 31""
E: 73° 23' 50""",It is at a distance of about & miles from Daultala Railway Station.,Concrete,Operational,70,0.973,754,450,315,3,12672,1700.5,1715,1722,Nirali Kas Tributary of Kanshi River,1970,9.19,33.325278,73.397222
5,Rawalpindi,Dungi ,"N: 33° 17' 30""
E: 73° 17' 52""",The dam site is located on Hachiara Nallah a tributory of River in Gujar Khan Tahsil of Rawalpindi District.,Concrete,Operational,71.4,1.47,1760,959,246,3,16282,1490,1502.5,1507.4,Huchiara Kas Tributary of Kanshi River,1971,20,33.291667,73.297778
6,Rawalpindi,Khasala ,"N: 33°26’46.12’
E: 72°58’15.04’’",The dam is situated at about 17 miles from Rawalpindi on Rawalpindin Chuntra Road on a stream called Khasala Kas.,Concrete,Operational,60,16.57,2415,1498,1250,6,12038,1316.5,1332,1339,Khasala Kas/Soan River,1985,25.4,33.446144,72.970844
7,Rawalpindi,Jawa ,"N: 33°25’40.47’’
E: 72°56’7.0’’",The dam site is located on Rawalpindi Chauntra Road ,Earthfill,Operational,82.43,29.71,1575,900,850,5,23350,1364.5,1384.5,1389,Jawa kas /soan river,1994,9.4,33.427908,72.935278
8,Rawalpindi,Phalina ,"N: 33° 24' 08""
E: 73° 19' 38""","Dam Site is situated at 9 Km north east of Mandra Town, Tehsil Gujar Khan District Rawalpindi.",Earthfill,Operational,74,267.975,3900,2930,2200,21.6,37500,1630.6,1651.9,1656.6,Phalina Kas Tributary of Kanshi River,2008,24.75,33.402222,73.327222
9,Rawalpindi,Jamal ,"N: 33° 17' 13""
E: 73° 07' 15""",Site is located at Ranjali Kas Near Jamal and Magot village Tehsil: Gujer Khan Distt: Rawalpindi.,Concrete Gravity,Non-Operational,87,77.171,1860,1286,1488,9,11081,,,,Ranjali Kas,2006,12.54,33.286944,73.120833
10,Rawalpindi,Ugahan ,"N: 33° 17' 25""
E: 73° 18' 01""","Located at a distance of about 13.0 Km west of Gujar Khan town District Rawalpindi of Krumb Nullah, a tributary of Kanshi River.",Earthfill,Operational,85,509.602,8100,3960,3500,35,39500,1572.25,1594,1601,Krumb Nullah Tributary of Kanshi River,2012,71.48,33.290278,73.300278
11,Rawalpindi,Chahan,"N: 33°27’34.00”
E: 72°52’54.17”",Dam site is located at a distance of about 35 Km South West of Rawalpindi City on Sil Kas which is a tributary of Sil River.,Earthfill,Operational,153,1567.529,27386,15706,12000,45,42350,1362,1398,1414.7,Sill Kass/Sill river,2023,242,33.459444,72.881714
12,Rawalpindi,Mahota,"N: 33°10'15.00""
E: 72°50'3.31""","Near Latifal village, located on Karahi Nallah, tributary of Soan river, District Rawalpindi",Earthen,Operational,94.5,3890.625,19065,11343,6000,40,20650,1235,1257,1269.3,Karahi nullah,2025,181,33.170833,72.834253
13,Rawalpindi,Mohra Shera,"N: 33°20'17.14""
E: 73° 8'12.01""","Near Mohra Shera village, District Rawalpindi",Earthen,Operational,97,1128.542,11800,5820,4500,30,16000,1536,1548,1556,"Badala Kas, a tributary of Wadala Kas that outfalls in Soan",2025,127,33.338094,73.136669
14,Chakwal,Khokhar Zer,"N: 32° 48' 24""
E: 72° 51' 34""",20 Km south of Chakwal on Chakwal - Choa saiden Shah road.,Earthfill,Operational,77,22.832,3312,3601,1200,14,26400,1895,1919,1924,Bitti Nalla (Tributary of Bunha River),1979,20.72,32.806667,72.859444
15,Chakwal,Walana ,"N: 32° 52' 31""
E: 72° 37' 32""",44 Km west of Chakwal Town.,Concrete,Operational,70,14.114,2193,1278,830,6,20300,1690,1705,1712.7,Narala Nullah,1983,25.9,32.875278,72.625556
16,Chakwal,Surlah ,"N: 32° 47' 20""
E: 72° 50' 30""",20 Km south of Chakwal on Chakwal - Choa saiden Shah road.,Earthfill,Operational,61,19.822,2119,2119,1480,14,10000,1900,1919,1924,Surlah Nalla (Tributary of Bunha River),1985,15.54,32.788889,72.841667
17,Chakwal,Nikka ,"N:32°47'43""
E: 72°41'17''",35 Km south of Chakwal on Khuhab Road.,Concrete,Operational,91.8,22.656,1243,830,777,7.5,15600,2310,2344,2351.19,Nikka Nullah (Tributary of Dharab River),1990,28.8,32.795278,72.688056
