Sr. No.,District,Name of Dam,Type of Dam,Operational / Non-Operational,"Height
(ft)","Completion Cost
(million)","Gross Storage Capacity
(Aft)","Live storage
(Aft)","C.C.A.
(Acres)","Capacity of Channel
(Cfs)","Length of Canal
(ft)","DSL
(ft)","NPL
(ft)","HFL
(ft)",River / Nullah,Year of Completion,"Catchment Area
(Sq. Km)",Latitude,Longitude
1,Islamabad,Rawal Dam,Stone Masonary,Operational,133.5,21.12,47500,28265,500,112,3000,1708,1752,1761,Korang River,1962,275.18,33.693833,73.122914
2,Islamabad,Dhok Sanday Mar ,Concrete,Operational,65,34.15,862,518,650,3.5,15893,1707.5,1726.5,1730,Nikki kas,1990,3.55,33.659503,72.860919
3,Rawalpindi,Misriot ,Concrete,Operational,39.4,0.33,504,268,100,2,8300,1623.45,1631.1,1636.1,Domel kas,1963,8.2,33.516653,72.990761
4,Rawalpindi,Nirali ,Concrete,Operational,70,0.973,754,450,315,3,12672,1700.5,1715,1722,Nirali Kas Tributary of Kanshi River,1970,9.19,33.325278,73.397222
5,Rawalpindi,Dungi ,Concrete,Operational,71.4,1.47,1760,959,246,3,16282,1490,1502.5,1507.4,Huchiara Kas Tributary of Kanshi River,1971,20,33.291667,73.297778
6,Rawalpindi,Khasala ,Concrete,Operational,60,16.57,2415,1498,1250,6,12038,1316.5,1332,1339,Khasala Kas/Soan River,1985,25.4,33.446144,72.970844
7,Rawalpindi,Jawa ,Earthfill,Operational,82.43,29.71,1575,900,850,5,23350,1364.5,1384.5,1389,Jawa kas /soan river,1994,9.4,33.427908,72.935278
8,Rawalpindi,Phalina ,Earthfill,Operational,74,267.975,3900,2930,2200,21.6,37500,1630.6,1651.9,1656.6,Phalina Kas Tributary of Kanshi River,2008,24.75,33.402222,73.327222
9,Rawalpindi,Jamal ,Concrete Gravity,Non-Operational,87,77.171,1860,1286,1488,9,11081,,,,Ranjali Kas,2006,12.54,33.286944,73.120833
10,Rawalpindi,Ugahan ,Earthfill,Operational,85,509.602,8100,3960,3500,35,39500,1572.25,1594,1601,Krumb Nullah Tributary of Kanshi River,2012,71.48,33.290278,73.300278
11,Rawalpindi,Chahan,Earthfill,Operational,153,1567.529,27386,15706,12000,45,42350,1362,1398,1414.7,Sill Kass/Sill river,2023,242,33.459444,72.881714
12,Rawalpindi,Mahota,Earthen,Operational,94.5,3890.625,19065,11343,6000,40,20650,1235,1257,1269.3,Karahi nullah,2025,181,33.170833,72.834253
13,Rawalpindi,Mohra Shera,Earthen,Operational,97,1128.542,11800,5820,4500,30,16000,1536,1548,1556,"Badala Kas, a tributary of Wadala Kas that outfalls in Soan",2025,127,33.338094,73.136669
14,Chakwal,Khokhar Zer,Earthfill,Operational,77,22.832,3312,3601,1200,14,26400,1895,1919,1924,Bitti Nalla (Tributary of Bunha River),1979,20.72,32.806667,72.859444
15,Chakwal,Walana ,Concrete,Operational,70,14.114,2193,1278,830,6,20300,1690,1705,1712.7,Narala Nullah,1983,25.9,32.875278,72.625556
16,Chakwal,Surlah ,Earthfill,Operational,61,19.822,2119,2119,1480,14,10000,1900,1919,1924,Surlah Nalla (Tributary of Bunha River),1985,15.54,32.788889,72.841667
17,Chakwal,Nikka ,Concrete,Operational,91.8,22.656,1243,830,777,7.5,15600,2310,2344,2351.19,Nikka Nullah (Tributary of Dharab River),1990,28.8,32.795278,72.688056
18,Chakwal,Dhok Qutab Din,Earthfill,Operational,81,23.331,1976,1030,706,6,17688,1720.45,1742,1744.3,Kuthan Kass (Tributary of Bunha River),1991,15.54,32.800556,72.958889
19,Chakwal,Kot Raja ,Earthfill,Operational,79.14,31.4,2844,2050,835,14,24288,1696.17,1713,1721.5,Kuthan Kass (Tributary of Bunha River),1991,23.98,32.8075,72.996667
20,Chakwal,Minwal ,Earthfill,Non-Operational,82.5,98.07,2000,1003,750,6,12000,1550,1563,1568,Wadnawali Kass (Tributary of Soan River),2008,12.95,33.039167,72.8675
21,Chakwal,Khai ,Earthfill,Non-Operational,128,139.949,5921,2106,1803,16,34600,2025,2045,2050,Sauj Kass (Tributary of Soan River),2007,15.1,32.8125,72.764444
22,Chakwal,Ghazial ,Earthfill,Operational,73.5,128.8,2000,1100,650,7,18800,1571.5,1583,1587,Piniala kass (Tributary of Bunha River),2007,13.49,32.978056,73.156944
23,Chakwal,Dhok Tahlian,Earthfill,Operational,83.45,58.37,1808,1110,852,4.3,30007,1925,1941.42,1947.45,Kuthan Kass (Tributary of Bunha River),2002,21,32.790833,72.9775
24,Chakwal,Mundee Dam,Composite,Operational,47,77.327,450,340,400,3.5,18000,1529,1542,1545,Ghazha Kass (Tributary of Bunha River),2012,3.32,33.04,73.122778
25,Chakwal,Dhok Jhang  ,Earthfill,Non-Operational,100,499.348,2650,1250,1070,6,37500,1902,1918,1932,Tributary of Bunha River,2012,14.01,32.796389,72.919444
